Username,Tweet
Sisyphus,"@uinwsfess daftar maxim ae mba, ngga ribet prosesnya.'"
taufik,"baru coba maxim, masih banyak yang harus diperbaiki"
lily paus,@minewjine @moonareas apa kabar maxim? long time no see'
Jeji,Sorry to say untung kali ini abang maxim nya gak banget'
Dilaaa,Awali pagimu dengan pesan maxim
uciaja,emg maxim best bgt dh ah murah bet'
rama,pengemudi maxim kebut kebutan di jalan huh
microsoft nafia,pengumpul small bill buat bayar maxim'
SiCode Promo,"gapapa lama, yang penting maxim banyak promo"
Bery Suwito,"Anda mendapat hadiah bonus dari saya sebesar Rp 100.000 untuk perjalanan dengan taksi! Cukup unduh aplikasi ""Maxim""'"
AHSAN FURQAN IBRAHIM,"Wow keren, mobil Esemka Garuda lumayan nihh untuk di pake taksi online (taksol)  Maxim Car https://t.co/qyFnbOZ86l'"
Mimin XI,Masa aplikasi maximnya susah banget cari driver si
rexaa,banyak driver maxim yang sikapnya tidak benar
Cipunggg,@marcella_anita1 @i_m_mortal_ pake maxim aja nder atau indriver lebih murche kaya pake voc goride'
maung,"@fixedcompass itu satu, kalau orang maxim tu suruh kau cancel after dah confirm order tapi dia still pickup kau"
Si Panggaron,@somaygoyeng @tanyarlfes Bapanya brian domami sama maxim malah chef antar negara'
follback? retweet pinned tweet!,rek di jember udah ada ojol Maxim belum ya?'
ana siregar,"Yups bener ini, macet tapi pilihan banyak masih bisa ke tujuan. Kota lain blom tentu, jalan kaki deh cape. Mending naik maxim murah."
@BriannaMiyakee 📍NYC | FMTY | and 💕,@maxim_montreal @FruitBoudoir @indy_companion Parah ni maxim
🤨,Kemaren gue ada pergi naik maxim HAHAHAHA kocak masnya malah curhat tentang kisah percintaannya.
ken aja pokoknya,"Njir td dpt maxim cepet kaget, malah jd error trs ke cancel anjir, tau gitu ga usah kaget anjrit...'"
tariii,males banget selesai pesan maxim abangnya malah ngechat ngechat pribadi gitu
wαwα,pakai maxim kadang suka ada promonya
trunojoyo2019,@UkanIbrahim Ngojek bang daftar aja Maxim via online'
Neyi,"Kak maxim, penciptanya maxim ya?? @maxmilth'"
cha,@convomf maxim sekarang mah'
Sepakbola Juara,Kemarin naik maxim ternyata murah juga
!!,maxim dr stasiun ke rumah gue only sebelas ribu anjay'
WinkiWinka,RT @TelkomIndonesia: Maripay memberikan solusi remitansi yang dapat dilakukan di mana saja melalui aplikasi mobile. Fitur pembayaran tagihan
🎐kinda ia,Maxim kelakuanmy Maxim https://t.co/psCCYi7K4i'
🎐kinda ia,Puk puk maxim https://t.co/zKEGMPJ3a7'
🎐kinda ia,RT @Afrodit42944173: Maxim yang gubluk bgt ato gimana sih.... woi....'
мaxi...,Aplikasi Maxim keren juga
Maxim,"@zwimter @moonareas Iya, Maxim yang itu'"
nadela,"tadi dapet bapak driver maxim yang baikk, diajakin ngobrol abistu dicariin bus. tau aja klo aku masih ngga berani buat nyari bus sendirian'"
lily paus,@moonareas ini maxim yang itu kah?'
R I F K Y,@cl0udlv @cursedkidd murah maxim og'
Aphr𖧷dite,Maxim yang gubluk bgt ato gimana sih.... woi.... https://t.co/KCnDW8zq7t'
-ꨄ²,Org maxim smlm mmg rude nk mmpus'
Shanks.s,Kamu berkesempatan mendapatkan bonus sebesar Rp0 untuk perjalanan dengan Maxim! Download aplikasi Maxim dan masukkannya https://t.co/rzYYoRkrLn'
🎐kinda ia,"Kakkkk, tanggung jawab aku jumpalitan pas maxim confess ditunggu kelanjutannyaaa, semangatt kaaa"" "
nis,mulai besok gua jadi driver maxim # gaboong'
Hyung Garr 🇲🇨🇲🇨🇲🇨,@Dee_01984 Semangat driver Maxim.. kita jual jasaaa. Sing penting halal. https://t.co/8GiktZaXO8'
adelle,@yoghurtrendang blm dpt driver gojek pake dulu maxim'
rawrrr,"@Maxim_Indonesia halo min, untuk atribut area jkt kapan ready lagi ya'"
Neil.,@munfess Apa maxim ya lupa'
Rhany,"Di garis bawahi, Ini gue bener2 udah males banget nanggepinnya ya, taulah ya kan orang yang sok punya power gitu. Apalagi maxim pasti punya komunitas orangnya banyak https://t.co/3IJAZiaEkK'"
bunnyakoo,"biasanya gojek, tapi lagi nyoba maxim, murah banget gilaa"
shintaa,salah banget pesan maxim lagi buru-buru. Lama banget nunggunyaa
sudi suwito,"RT @arifnovianto_id: Ketika Maxim  InDriver melanggar regulasi Kemenhub, maka dengan sigap mereka berkoordinasi bersama Kominfo untuk mencabut izin operasi"
rinco,"pertama kali pesan maxim mobil ternyata nyaman. Karena terjebak hujan, kutinggalkan suamiku di era mart. Maaf ya beb. Aku sayang sih tpi kalo kehujanan juga aku sakit kepala"
piyo!,"Guys, maxim banyak promo ga?'"
Rhany,"Attitute problem sih susah ya! Mau ngejelekin company @maxim tapi, masalah nya di attitute driver bukan platform. https://t.co/g9kW9I25i0'"
try to help,"Me wasting my whole time : Mutusin beli makan apa\nItung total makanan+ongkir. Bandingin harga resto ini resto itu, eh driver maxim seenaknya https://t.co/gzR18dRqTA'"
pucca,titik koordinat maxim bikin bingung nih
ryokoo,naik mobiil maxim wangi bangett
joseregos,ini titik jemput maxim nyarinya susah banget ya
bike4life,RT @SPAIbersatu: Serikat Pekerja Angkutan Indonesia (SPAI) meminta Kemenhub untuk menindak tegas perusahaan aplikasi yang melakukan pemotongan harga
Serikat Pekerja Angkutan Indonesia,Serikat Pekerja Angkutan Indonesia (SPAI) meminta Kemenhub untuk menindak tegas perusahaan aplikasi yang melakukan pelanggaran https://t.co/xWzaRJ4kYP'
kentang,RT @fadlilaaaaaa: Plis banget abang maxim ngabrutt wkwkw https://t.co/Z43GIpZEYc'
;,Wkwk lucu bgt deh tiap naik maxim pasti selalu ada cerita
мaxi...,@fediittt Alikasi maxim ga kalah bagus dari si hijau
Arya Putra,Kok bokap blm pulang juga nih..narik maxim@Azka_Rizal3'
UNSR! ,"Aku baru pindahan kedaerah sukabangun. Mau dong ke kampus unsr! Barengan, ntr ak bayar bensinnya. Males banget kalo naik maxim https://t.co/4KHkrCk9xP'"
ken aja pokoknya,"Siaall jantung gua mo copot tadi pas berenti di LRT Putra Heights bilang udah gaada LRT laluan Kelana Jaya, demi Allah gua kaget banget akhirnya pulang lagi naik maxim https://t.co/pyARuow0L7'"
sate ayam (Taylor’s Version),"Ada cerita, temen gua ini dikasih uang bulanan 2jt dan dia bilangin gua hedon karna uang bulanan gua 3 jt. PADAHAL 2jt dri hasil gua narik maxim https://t.co/PZRHgLnn9x'"
martabak manizz,sepanjang jalan seneng karena driver maximnya baik bangett
oik,@yolandannisa driver maxim kelakuan ada ada aja emang. https://t.co/XgYXmr7qpp'
Ale.,"Struggle kak Caci mau pulang. Dari set 5 gak dapet gocar, grabcar, maxim :( https://t.co/IzhEnyT26I'"
mim🅰️,@convomf Sedang beralih ke maxim'
dita,"@convomf gojek sama maxim, akun gue di suspend grab sama maxim pdhl gue ga ngapa ngapain, anj gajelas lu grab sama maxim"
ǝıſooS,Saya tidak juga takut balik kerja tengah malam naik grab atau maxim tapiiii jangan lah bah ada benda buruk jadi. Orang ni penat kerja niii.
ainunarta,"ngga jadi maxim, susah nyari lokasi"
mitzisi,makasih buat driver maxim yang tadi bantuin pas liat aku kebingungan di jalan
ketameant,waktu itu pernah pesan maxim aneh banget
gerrinss,maxim aneh banget lokasinya kadang ngga sesuai sama nama tempatnya
;,Sangat menertawakan kemiskinan ku. Gue pp pake maxim hak lu make pesawat dah https://t.co/LiI8YzhU9e'
yusii,"untung maxim murah, jadi uang gua cukup"
rachmat11,Kalau lagi hemat maxim solusinya sih
rauhabee,pesan maxim ketika sedang irit sangat membantu
maxim,@callmegatx Kacau Maxim
yourfavgirlis,Plis banget abang maxim ngabrutt wkwkw https://t.co/Z43GIpZEYc'
Ghil lg lieur,"@RZakhas Bro how tf im waiting 91 meter maxim for 10 mins (hujan gw gabisa nyamperin). Padahal udah chat ""pak saya disini. https://t.co/G8BUIlunbi'"
tiger,@luvv_188 Coba pakai aplikasi maxim'
bayik🐣,@kdrama_menfess Ku mending maxim'
¹⁷,@Sealeet geer lu kang maxim'
uni_arneb,"bingung cara order lewat aplikasi maxim, karena nyari lokasinya agak aneh"
Sintia♒️,"Pertama kali pake maxim, Pengemudinya ga jelas dan ngilang. Malah dapet yg jauh kan lama lagi. Bener2 ini hari ini apes https://t.co/ESMXgOrStF'"
Nani Nurhaini,@maxim_cho Driver maxim kenapa sukanya lewat jalan sepi sih
Nani Nurhaini,@maxim_cho Maxim meresahkan'
keeya,@iamkeen0o0 paguyuban maxim bersatuu
Juήe,"napa metal amat sih driver maxim ini, apa aja dibabat asal hantam"
♡✿‿✿♡,"akhirnya setelah nunggu 3 jam hujan gaberenti dan gada grabcar, maxim jadi penyelamat huhuww kasian sama badan ni ha https://t.co/bsw3veRAE2'"
ernand,ini maxim ngga ada promo sebelas sebelas yak wkwk
ayya,@infobdg Wkwkwk maxim mau pulang kerja https://t.co/L7dyicLj5f'
Askrlfess,[askrl] maxim tuh ga bisa ewallet ya?'
Addidiero,Maxim ini maps nya masih beta banget yak
Rica,Tolong @Maxim_Indonesia maxim drivernya diupdate kalau ada pembayaran cashless atau non-tunai. Saya sudah bayar via e-wallet tapi tetap ditagih cash https://t.co/GKAcDhJ2Pg'
an,"@KediriFess trus motore enek stiker maxim, keren"
ridho,nyoba naik mobil pakai maxim ternyata harganya cukup terjangkau
Seokme,Terimakasih kepada abang maxim sudah menerima orderan saya walau menerjang hujan badai banjir
jua,Ga lagi gua ujan di sekolah anjrit balik naek maxim kedinginan'
han,Eh Maxim Supreme Gold enakkk!!! Walaupun agak pahit tapi masih bearable.'
ten.,Baru nak layan perasaan encik maxim ni tanya pulak nanti balik mengemudi kemana  https://t.co/Y7XIb58hJo'
GENERASI TERAKHIR CAKRABIRAWA&JAMUS KALIMAHUSADA,RT @BocahArusBawah: Ternyata ada driver maxim atau taxsee driver seperti bajingan
GENERASI TERAKHIR CAKRABIRAWA&JAMUS KALIMAHUSADA,Ganyangka aplikasi maxim kaya gitu  https://t.co/sx7IecyRbA'
Indonesia Spurs,Kesel banget sama aplikasi maxim
Tanyarl,Di sini ada yg pernah nyoba pake aplikasi Maxim ngga? Order makanan ongkir nya murah gak ya di si maxim
Luqmanul Hakim,Pergi kemanapun kapanpun semakin mudah degan Maxim Bike!. https://t.co/SxwgTkNFJ6'
Ms. Americano,Kebodohan hari ini adalah pesen maxim dari st duren kalibata ke plaza kalibata yang ternyata dekettt bgttt coiii sampe tempatnya nyesel https://t.co/VPgUF9hVCm'
jean,"asem bet maxim ngebut waktu ujan, mandi air got celana gua wkwkwkwk makasih ya "
juanma,yahh kenapa pas mau dipake aplikasinya error siihh
BullishPeasant69,Gaswar incoming :D @kadoryaiyoo @DineenCory @sarangheyto @CrlaDominik @luowenfeng6 @aqumasamba @MokhtarStan https://t.co/fGKDXXylPP'
nnisrnaa.ci,Ini maxim korea kok bisa sampe indo?? https://t.co/iYbCf1Wo2U'
Grace 🐈‍⬛💜💙,Bukan ttg kpop tapi pengen cerita aja kemarin pas naik maxim car dapet driver cakep banget tapi dia ngerasa dia ganteng gitu. https://t.co/itBPmjs2ZA'
Mimils,Semangat aa aa maxim. https://t.co/EIRf7DQiom'
"𝐆𝐫𝐲𝐟𝐟𝐢𝐧𝐝𝐨𝐫, Darius 🦁","Kok gue baru tau dah si maxim, norak amat wkwk https://t.co/69NsHpmEI4'"
girdaa,gua tadi pesen maxim terus pas mau bayar harganya beda masa
Kang Hermando,"Nah loh kog bisa berubah. @Ojol_Gibah @ojol_indo_nesia Pelanggan Taksi Online Maxim Kaget, Tarif Lebih Mahal Dari biasanya https://t.co/ppyy5lURPC'"
Aleee,@convomf Maxim murah banget'
Sekretariat Negara,"4. Usai memimpin upacara, Wapres beserta Ibu Hj. Wury Maruf Amin didampingi oleh Menteri Sosial dan Kepala Staf meninjau maxim ke lapangan https://t.co/w8uixrandW'"
💫,Pengalaman naik Maxim: murah dibandingkan yg ijo2 sejauh ini dan driver nya cepet juga dateng nya.. kayaknya blm banyak yang tau https://t.co/KMnpqXpPQH'
Kang Hermando,"RT @elpanjullo: Pelanggan Maxim Kaget, Harga Tarif Lebih Mahal Dari yang Muncul di Awal... Waduh! Ada apa ini? @HermandoKang @PurbaH\xe2\x80\xa6'"
bibil,mual bgt abang maxim bawa mobil kek supir angkot anjj masi mending lagi supir angkot daripada dia'
𝒇𝒂𝒕𝒊𝒏,@spunchb0b_ Sudah report maxim apa semua. Suka aneh aneh drivernya
𝒇𝒂𝒕𝒊𝒏,@spunchb0b_ Sa pre-book ba tu untuk trip esok then dia datang ambil la pastu bawa becerita bahwa aplikasi maxim bagus sekali https://t.co/adXe5bFnjs'
Rita Yuliani,I love maxim wkwkwk'
Taufiq Qurahman,@unilabase Pake Maxim aja kak yang pick up'
rinaa,cinta banget sama aplikasi maxim
Anggri Ncs,"@akunyangke16 Aku juga hari ini gitu lebih dari lima kali, di grab juga gitu ga dapet dapet terus, pas pesen maxim sekali pesen langsung dapet https://t.co/Hgo9Lwluw9'"
Lia,"temen w naik maxim tabrakan sampe luka jahit cobaa, si bapak waktu ditanya mau ke puskesmas apa engga cuma diem aja https://t.co/lgZWcM6HbW'"
🌛,@UPIfess Naik maxim aja nder cuma tiga puluh lima ribu
"seaa, free tag",Maxim dategnya lamaaa. https://t.co/rso1N7UYnS'
🏴 Haramkan Nikah Bawah Umur 🏳️,"Tadi naik Maxim, driver tanya mengundi di mana. Suda aku jawab, aku tanya la dia balik,  debilang. Tapi ndak bisa kalau samapai kesana. kesel"
PURA-PURA Pintar,"Seneng banget dapet voucher maxim, jadi murahh"
dianatrihy,"@collegemenfess @stressgurli @dwsyyyy tiap pulang kuliah berantem dulu mau naik maxim gocar pa angkot, tpi tetep berujung jalan kaki...'"
keen²²,besok anak vokasi sama fikes bakal liat pangkalan maxim di fkh
Ⓓⓔⓦ,"Kadang suka kasian sm abang maxim / gojek/ grab klo gua pake headset diajak ngobrol ga nyaut, jd ngerasa salah'"
🚩,Nunggu Maxim buat caww ke pasar guedee https://t.co/H73TM3ho4V'
wada,pusing banget nyium parfum pas naik maxim tadi
trilinguals 🥡,@syapadisana maxim aja sini langsung ke nims'
Maxim Bali,"RT @maxim_tgr: Maxim kini hadir di enam kota baru! Kami sampaikan salam dari Selong, Watampone, Soreang, Baubau, Pangkalpinang, dan Maumere."
willy winka,"firdy sambo bilang ""kalian enak jaman sekarang kan ga kaya saya dulu, banyak transportasi umum. naik maxim tuh contohnya"
maxim.malang,"Free Ride Maxim transportasi online di @HasnaMedika Jl. Raya Ki Ageng Gribig, Madyopuro, Kec. Kedungkandang."
Wandiraa,Males banget abang maximnya ngeselin
tomi,"pulang kuliah pesan maxim, eh ternyata teman sendiri haha"
Gus Jul,Kenapa harga tarifnya beda sih sama yang awal pesan maxim @HermandoKang https://t.co/EPKxGuu2DB'
Atlantis🌊,Uangnya buat ongkos maxim aja ya gak wkwk'
transonlinewatchcom,Kalo kata temanku maxim murahh https://t.co/oF0eAZMqcq'
Kendari Pos,"Sambangi Maxim Kendari, Jasa Raharja Edukasi Program Pencegahan Lakalantas https://t.co/IhNMonB4Lz'"
ఇ ◝‿◜ ఇ,"@teecoffee_ yas pc dia harganya bisa buat karaoke, mam enak, naik maxim jadi tidak perlu khawatir"
ekii,udah siap banget besok pagi pesen maxim wkwk
el || ☃️🌲,Si kuning maxim drivernya kebut kebutan
rezkans,Selama ini cuma mendengar dari kawanan bahwa ada gocar atau grabcar atau maxim yang gabut padahal orkay dan tadi malam merasakan
Childish,Mampus ini maxim gaada yg mau masuk.. Baliknya gimana dah'
rezkans,Untuk pertama kalinya dapat maxim tapi orangnya sebatas gabut
MaximRamadhanKule,@Doro_ly_me @SimonKaggwaNjal Naik Maxim ajaaa
🎐kinda ia,"RT @Afrodit42944173: Males banget Maxim jahat,,,"
yatim cari duit,Daftar maxim dah'
WCLV Now Playing,"Naik maxim taunya drivernya cuma iseng katanya, mana cakep lagi orangnya"
irbah,@persephonneey HAHAHAHAHA jujur ini yang gua rasain apalagi kalo naik maxim abangnya nyelip2 diantara tronton
✨🍭🧁🦋,Agak nyesel sebetulnya uang hasil SE abis gitu aja. Sebenernya ga gitu aja si buat beli kemeja buat sempro besok. Mana ngga ada yag ganterin. Terpaksa harus pesan maxim https://t.co/rS1oPyq8vy'
Piter Pbr,Hari ini kerja dilewatin gang gang sempit sama abang maxim biar ga macet. Tapi terimakasih abang maxim
Parzival 🇲🇾,maxim citylight gagal. Aku order dari pukul 9. Lagi 15 minit pukul 12 aku still tak dapat.  https://t.co/gHXeyzJPBt'
naz_,gadapet gojek murah maxim pun jadi
dinn,"tadi sore mesen maxim, ga dapet2 sampe sejam'"
MAXIM.,"Kaget banget pertama naik maxim begini, kurang nyaman sih"
Eddie,"@Waltzesposth Anytime. Aku habis makan sih tadi, kalo kamu sendiri lagi apa? Btw jangan lupa order di Maxim.'"
jarangselfy,@shndsmu Wis maxim wae mah jelas dedett..'
grownupboyx,"@ourbelvummer Itu app apaa dah, maxim? ko murahh'"
🙄,@faauzil kaya maxim?'
zaaaa,@nasyikes @C0LDBRUU itu maxim avanza kok ada mulu ya'
z.,supir maxim yg mobil kebayakan pada problematik ya
naya,WKWK KTEMU MAXIM GANTENG COK'
dragonniee,"@worksfess Pake maxim, sekitaran 600an bisa kurang tergantung jarak kamuu'"
doradori,"ngerasa aneh baru jam segini udah ngantuk terus ngerasa badan kedinginan, baru inget tadi gue naik maxim sambil hujan-hujanan'"
dyya,mending keliling keliling sama mang maxim  https://t.co/Hs4AZ7NJbq'
Hiday,"Kunci hidup adalah semangat mba, dan beban hidupku adalah semangatku.""Kata Bapak Maxim malam ini...""MasyaAllah. https://t.co/LSuFyHazWD'"
Aphr𖧷dite,Udah cape kerja dapet driver maxim yang bikin seneng
MAXIM.,@gqrey #KAL Kalau Maxim jadi one and only ngga?
AstroAbqori,@jaykeyhey_ agak lain maxim ini'
steylaaa,baru tau maxim ternyata semurah ini woyyy
Icha •᷄ ɞ•᷅ 🐨 ❤ツ,"@upilkelabu Waktu itu banyak gojek atau grab atau maxim gitu ga ya disana? Aku bingung akses pulangnya aja. Aku pernah pake aplikasi maxim dan ternyata susah dapatnya, jadi bingung https://t.co/72ojlupfrx'"
rum,helm maxim knp reket bgt we membuatku semakin kopok
majesty,"maxim aneh ya, di aplikasi harganya sekian tapi driver minta ubah harga, alasannya aplikasi belum menyesuaikan degan kenaikan bbm..'"
ferdy,ko aku order maxim tidak semudah seperti orang orang ya
ꜱᴛɪʟɪʏᴀɴ,Masa nemu maxim minta tipnya maksa
Amirov Dion,@AXXXMVII Maxim apa kabar?'
piupiuu,@rlgxg mau tapi disini gada gojek gada grab gada maxim :)'
pichiuuuu,pake maxim kadang suka ngga jelas titik jemputnya
c. my pinned,Maxim ada di saat dibutuhkan
MaximBandaAceh,"Keuntungan dari Maxim bukan hanya perjalanan yang ekonomis. Kami juga punya diskon untuk olahraga, bengkel, restoran, dan masih banyak llagi"
iaw,@tanyarlfes Lebih seneng naik maxim
𝙙𝙧𝙞𝙫𝙞𝙧𝙜𝙞𝙟𝙞𝙠,@Red13Maxi @detikcom Bisa aja manual maxim'
bersenyawaa,Anjer. Helm abang maxim wangi parfum mantan yg jelek.... yg paling jelek'
Media Konsumen,Sistem Tarif Maxim Seperti Argo Taksi? Gimana nih maxim - https://t.co/iHI1f01VrR CC @Maxim_Indonesia'
newbie,@kemenhub151 kalo yang di screenshot pendapatan saya ini berapa ya potongan komisinya? agak bingung sama maxim https://t.co/OCI6bxGd5r https://t.co/jfamkvBGgW'
(´･_･`),Pernah pake maxim ternyata murah
OPFOL 📌,-dips! bonus di maxim gini buat apa ya? ada yang tau? terus kalo mau bayar maxim cashless itu gimana ya? -TIA https://t.co/5MFd5K0vYt'
Moc,"Aku naik maxim, nanya ke bapaknya ""dibawah macet banget ya pak?"" Kata bapakya ""ini pake pertamax, neng, jadi nguras mesin"" HAH????' jadinya aku harus nmbahin tip buat abangnya"
BKI 🫶🏻,"Niat naik maxim supaya murah, eh malah dimintain tip lebih"
ayatoCepmek,"padahal aku dah berusaha ngga mikirin tapi kepikiran karena bapak2 maxim nanya, ""mbak lagi hamil ya?""  https://t.co/1zhU4ZIG3k'"
allysa,Murahan maxim dari Gojek
Imperialman,Males banget maxim ga jelas
MAZ.REY,"@ahgatuu @tanyakanrl Disini jarang Maxim, itu ojol apa food nder..'"
Rin ✨ | kinda ia,Bapak maximnya baik banget
artemis | rest👋,"@tanyakanrl Gw daftar mitra maxim sih buat sampingan aja, lumayan kalo orderan 3 udh dapet 30.000 tergantung jarak nya,'"
kakiyowo,Kak @berburusales ada promo maxim bandung untuk hari ini gak?'
-,Seneng dapat promo terus setiap naik maxim
Puan Cuan,"@SlbAbc Sampurasun! Ada promo saldo bonus 100k dari Maxim Sukabumi nih! Caranya gampang, tinggal download aplikasi maximhttps://t.co/wABGzO1xbp'"
liaaa,Dapat bapak maxim yang sabar dan baik banget hari inii
akaa,"keren, maxim murah banget https://t.co/hMlRU40mjZ'"
kakiyowo,Kak @i_m_mortal_ aku dapat voucher promo maxim nih
tiiinn!,"@sebongqueenie pasti ada. boleh juga sambil cari-cari diperbatasan jakbar, yang ada rute jakling atatu tj, plus download aplikasi maxim aja, kadang banyak promo https://t.co/B8uGed8dnB'"
Wicaksono IMAM,Ini driver maxim buangan dari si hijau kah? pantesan pada aneh aneh
ⁿª,"gue berangkat set 10, baru sampe perpus karna muter, udah gitu naek maxim karena kelamaan tua di jalan'"
Khairul,Baru tahu maxim lagi murah dari grab'
LEUXDEJUA,"maxim kenapa sih, padahal drivernya gak ada nunggu sama sekali tapi malah ada tarif waktu tunggu, ongkos jadii nambah anjeng'"
Wahyonosukoharyo,Maxim kenapa suka beda beda gini sih tarifnya. Jelek banget gasesuai aplikasi
Maxim Tangerang Raya,"Saran aku naik maxim aja, murah"
max,"RT @memgrizz: Tadinya juga takut naik maxim karena katanya banyak kejadian aneh aneh, tapi ternyata ngga"
d ï κ,"anjrit gw dapet driver ini lagi, mana tadi duduknya dimundurin terus sm dia. ini cara report driver maxim gmn sih https://t.co/wBDEgeIDGO'"
Jenby 🏳️‍⚧️,"takut baget naik maxim, gamau lagi"
Fahendra,Hari ini dapat driver maxim baik bangett
Akun kedua dede_gemes,"Tadi pulang sekolah agak lama terus pas pulang order maxim, eh ternyata dapet kakaknya temen gua wkwk"
ten.,"@bloomingro Tak nis. Ni orang lain pulak driver maxim, penatlah dikelilingi manusia psycho ni nis."
ginlopy,@rcvezx makasiii kk maxim'
Maxim Bali,@noldy_v MJB - Yuk kak cobain Maxim. Reviewnya bisa cek di likes kami.
Maxim Bali,"RT @MaximAceh: Jangkau lebih banyak pelanggan dengan mendaftarkan usaha anda di Maxim Merchant, dengan keunggulan-keunggulan yang didapatkan"
